time_pt,ticker,type,status,score,1h_ret_pct,4h_ret_pct,eod_ret_pct
07:31 PT,AAPL,CALL,REJECTED_LOW_SCORE,39.8,0.26,-0.06,-0.02
18:16 PT,TLT,UNKNOWN,REJECTED_BID_SIDE,0.0,0.11,-0.01,-0.02
20:16 PT,TLT,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.11,-0.01,-0.02
11:12 PT,TLT,PUT,REJECTED_LOW_SCORE,35.3,-0.04,-0.03,
12:38 PT,TQQQ,UNKNOWN,REJECTED_BID_SIDE,0.0,0.10,-0.05,
12:04 PT,FIG,UNKNOWN,REJECTED_NO_FLOW,0.0,0.05,-0.05,
09:57 PT,SOXL,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.35,0.60,-0.05
11:12 PT,XLE,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.04,-0.05,
08:56 PT,NBIS,PUT,REJECTED_LOW_SCORE,19.6,-1.02,-0.36,-0.06
12:11 PT,MSFT,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.04,-0.07,
12:38 PT,MSFT,CALL,REJECTED_IV_CRUSH,0.0,-0.04,-0.07,
09:36 PT,AAPL,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.27,-0.30,-0.08
08:39 PT,RKLB,UNKNOWN,REJECTED_NO_FLOW,0.0,0.73,0.39,-0.08
08:13 PT,PYPL,CALL,REJECTED_IV_CRUSH,0.0,0.33,-0.28,-0.09
06:43 PT,COIN,UNKNOWN,REJECTED_BID_SIDE,0.0,3.80,0.88,-0.09
06:49 PT,COIN,CALL,REJECTED_LOW_SCORE,25.2,3.80,0.88,-0.09
07:18 PT,AMD,PUT,REJECTED_LOW_SCORE,34.7,0.44,0.03,-0.11
07:18 PT,TLT,CALL,TRIGGER_PULLBACK_CONFIRMED,46.4,-0.09,-0.13,-0.11
07:46 PT,TLT,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.09,-0.13,-0.11
11:20 PT,EWY,UNKNOWN,REJECTED_NO_FLOW,0.0,0.14,-0.13,
07:01 PT,SCHW,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.29,-0.25,-0.15
11:27 PT,GME,UNKNOWN,REJECTED_NO_FLOW,0.0,0.20,-0.16,
08:13 PT,MU,PUT,REJECTED_LOW_SCORE,26.3,-1.27,-0.53,-0.17
07:12 PT,TSM,CALL,REJECTED_LOW_SCORE,35.3,-1.08,-0.30,-0.18
11:49 PT,MSFT,PUT,REJECTED_IV_CRUSH,0.0,-0.23,-0.20,
07:31 PT,HIMS,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.78,-1.71,-0.21
12:46 PT,GOOG,CALL,REJECTED_LOW_SCORE,33.4,-0.04,-0.21,
10:16 PT,HOOD,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.06,-0.21,
11:36 PT,GOOGL,UNKNOWN,REJECTED_BID_SIDE,0.0,0.00,-0.22,
08:01 PT,IWM,UNKNOWN,REJECTED_NO_FLOW,0.0,0.29,-0.26,-0.22
11:02 PT,CCL,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.49,-0.22,
11:02 PT,WDC,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.24,-0.22,
11:27 PT,ASML,UNKNOWN,REJECTED_NO_FLOW,0.0,0.25,-0.23,
11:20 PT,GOOG,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.06,-0.24,
11:36 PT,AXTI,UNKNOWN,REJECTED_BID_SIDE,0.0,0.65,-0.27,
06:49 PT,KWEB,CALL,TRIGGER_PULLBACK_CONFIRMED,46.5,0.15,-0.31,-0.29
06:49 PT,KWEB,CALL,REJECTED_LOW_SCORE,37.8,0.15,-0.31,-0.29
11:12 PT,INTC,PUT,REJECTED_LOW_SCORE,17.1,-0.80,-0.32,
10:34 PT,EWY,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.48,-0.33,
12:46 PT,TSM,CALL,TRIGGER_PULLBACK_CONFIRMED,42.6,-0.13,-0.34,
12:46 PT,TSM,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.13,-0.34,
09:47 PT,STM,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.12,-0.25,-0.34
09:05 PT,GS,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.64,-0.30,-0.34
08:39 PT,NVDA,PUT,REJECTED_LOW_SCORE,25.3,-0.16,-0.63,-0.35
09:57 PT,UBER,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.29,-0.33,-0.36
11:12 PT,ARM,CALL,REJECTED_LOW_SCORE,28.9,-0.11,-0.37,
11:49 PT,ARM,UNKNOWN,REJECTED_BID_SIDE,0.0,-0.11,-0.37,
06:43 PT,ETHA,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.38,0.16,-0.38
06:32 PT,NFLX,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.95,-1.03,-0.40
06:43 PT,QQQ,PUT,REJECTED_LOW_SCORE,21.6,-0.36,-0.27,-0.40
09:05 PT,TQQQ,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,-0.56,-0.26,-0.41
09:20 PT,TQQQ,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.56,-0.26,-0.41
07:18 PT,KWEB,UNKNOWN,REJECTED_NO_FLOW,0.0,0.07,-0.61,-0.43
07:25 PT,KWEB,UNKNOWN,REJECTED_LOW_PREMIUM,0.0,0.07,-0.61,-0.43
12:19 PT,MARA,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.02,-0.43,
08:39 PT,DIA,UNKNOWN,REJECTED_NO_FLOW,0.0,0.08,-0.44,-0.44
08:01 PT,IREN,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.48,-0.15,-0.48
06:55 PT,META,PUT,REJECTED_LOW_SCORE,16.8,-0.21,0.08,-0.49
08:21 PT,IGV,UNKNOWN,REJECTED_NO_FLOW,0.0,-0.06,-0.57,-0.51
