event_id,date_utc,time_utc,ticker,direction,event_type,score,path,dte,entry_price,spy_at_event,ret_1h_pct,ret_4h_pct,ret_eod_pct,ret_d1_pct,ret_d3_pct,spy_ret_eod_pct,excess_eod_pct,mfe_eod_pct,mae_eod_pct,factor_summary,screener_logic
077e568a595f9d27,2026-04-17,13:28:27,AVGO,CALL,PATROL_PREPOSITION_TRANSITION,,,,403.28,,-0.218,0.009,0.786,,,0.274,0.512,0.854,-0.55,transition:CONFIRMED_to_APPROACHING|trigger:401.68|spot:401.0|reason:,
7bfdd7f1ccfa43bb,2026-04-17,13:28:28,NVDA,CALL,PATROL_PREPOSITION_TRANSITION,,,,201.16,,-0.435,-0.42,0.122,,,0.274,-0.152,0.36,-0.838,transition:APPROACHING_to_WAITING|trigger:201.4|spot:199.76|reason:,
0df63b4dc4f8d409,2026-04-17,13:28:29,TSLA,CALL,PATROL_PREPOSITION_TRANSITION,,,,393.9,,3.147,2.06,1.649,,,0.274,1.375,3.903,-0.281,transition:CONFIRMED_to_APPROACHING|trigger:396.62|spot:395.85|reason:,
cc08d40f1910c5a2,2026-04-17,13:28:30,AAPL,CALL,PATROL_PREPOSITION_TRANSITION,,,,268.98,,0.472,0.472,0.439,,,0.274,0.165,1.234,-0.201,transition:APPROACHING_to_WAITING|trigger:268.5|spot:266.99|reason:,
19249b141a1c6a0e,2026-04-17,13:30:15,META,CALL,PATROL_PREPOSITION_TRANSITION,,,,684.79,,0.208,-0.076,0.494,,,0.274,0.22,0.982,-0.423,transition:APPROACHING_to_WAITING|trigger:681.89|spot:678.46|reason:,
52429302269a4038,2026-04-17,13:31:57,AMZN,CALL,PATROL_PREPOSITION_TRANSITION,,,,253.96,,0.228,-0.104,-1.248,,,0.274,-1.522,0.874,-1.516,transition:CONFIRMED_to_APPROACHING|trigger:253.44|spot:252.965|reason:,
f058551867b41c47,2026-04-17,13:32:53,QQQ,CALL,REJECTED_LOW_SCORE,27.2,,73,646.46,,0.356,0.271,0.402,,,0.274,0.128,0.548,-0.048,persistence:4.0|smc:0|dp:8.8|greek:0|iv:0|open_conf:0|tod:5|ask_dom:0.86,Screener detected $3.9M Net Premium Imbalance and 60 massive Darkpool prints.
11f97c05ba48c370,2026-04-17,13:32:53,MSFT,CALL,REJECTED_LOW_SCORE,24.2,,125,424.71,,1.256,-0.039,-0.528,,,0.274,-0.802,1.617,-0.947,persistence:2.4|smc:0|dp:10.2|greek:0|iv:13.3|open_conf:0|tod:5|ask_dom:1.0,Screener detected $8.7M Net Premium Imbalance and 55 massive Darkpool prints.
92cc3f80831e6f05,2026-04-17,13:32:53,NVDA,CALL,REJECTED_LOW_SCORE,25.6,,61,201.16,,-0.435,-0.42,0.122,,,0.274,-0.152,0.36,-0.838,persistence:1.0|smc:0|dp:10.4|greek:0|iv:0|open_conf:0|tod:5|ask_dom:0.87,Screener detected $1.2M Net Premium Imbalance and 52 massive Darkpool prints.
1faf717532d9eef8,2026-04-17,13:32:53,AMZN,UNKNOWN,REJECTED_BID_SIDE,0.0,,0,253.96,,0.228,-0.104,-1.248,,,0.274,-1.522,0.874,-1.516,,Screener detected $3.4M Net Premium Imbalance and 38 massive Darkpool prints.
